Month,Geography,Products and product groups,Value,Monthly Change,Yearly change,Indexed value
Jan 2002,Canada,All-items, 97.6, 0.2%, 1.3%,100.0
Feb 2002,Canada,All-items, 98.2, 0.6%, 1.4%,100.6
Mar 2002,Canada,All-items, 98.9, 0.7%, 1.9%,101.3
Apr 2002,Canada,All-items, 99.5, 0.6%, 1.7%,101.9
May 2002,Canada,All-items, 99.7, 0.2%, 1.1%,102.2
Jun 2002,Canada,All-items, 99.9, 0.2%, 1.2%,102.4
Jul 2002,Canada,All-items,100.5, 0.6%, 2.1%,103.0
Aug 2002,Canada,All-items,100.9, 0.4%, 2.5%,103.4
Sep 2002,Canada,All-items,100.9, 0.0%, 2.3%,103.4
Oct 2002,Canada,All-items,101.2, 0.3%, 3.2%,103.7
Nov 2002,Canada,All-items,101.5, 0.3%, 4.4%,104.0
Dec 2002,Canada,All-items,101.1,-0.4%, 3.8%,103.6
Jan 2003,Canada,All-items,102.0, 0.9%, 4.5%,104.5
Feb 2003,Canada,All-items,102.8, 0.8%, 4.7%,105.3
Mar 2003,Canada,All-items,103.1, 0.3%, 4.2%,105.6
Apr 2003,Canada,All-items,102.4,-0.7%, 2.9%,104.9
May 2003,Canada,All-items,102.5, 0.1%, 2.8%,105.0
Jun 2003,Canada,All-items,102.5, 0.0%, 2.6%,105.0
Jul 2003,Canada,All-items,102.6, 0.1%, 2.1%,105.1
Aug 2003,Canada,All-items,102.9, 0.3%, 2.0%,105.4
Sep 2003,Canada,All-items,103.1, 0.2%, 2.2%,105.6
Oct 2003,Canada,All-items,102.8,-0.3%, 1.6%,105.3
Nov 2003,Canada,All-items,103.1, 0.3%, 1.6%,105.6
Dec 2003,Canada,All-items,103.2, 0.1%, 2.1%,105.7
Jan 2004,Canada,All-items,103.3, 0.1%, 1.3%,105.8
Feb 2004,Canada,All-items,103.5, 0.2%, 0.7%,106.0
Mar 2004,Canada,All-items,103.9, 0.4%, 0.8%,106.5
Apr 2004,Canada,All-items,104.1, 0.2%, 1.7%,106.7
May 2004,Canada,All-items,105.0, 0.9%, 2.4%,107.6
Jun 2004,Canada,All-items,105.1, 0.1%, 2.5%,107.7
Jul 2004,Canada,All-items,105.0,-0.1%, 2.3%,107.6
Aug 2004,Canada,All-items,104.8,-0.2%, 1.8%,107.4
Sep 2004,Canada,All-items,105.0, 0.2%, 1.8%,107.6
Oct 2004,Canada,All-items,105.2, 0.2%, 2.3%,107.8
Nov 2004,Canada,All-items,105.6, 0.4%, 2.4%,108.2
Dec 2004,Canada,All-items,105.4,-0.2%, 2.1%,108.0
Jan 2005,Canada,All-items,105.3,-0.1%, 1.9%,107.9
Feb 2005,Canada,All-items,105.7, 0.4%, 2.1%,108.3
Mar 2005,Canada,All-items,106.3, 0.6%, 2.3%,108.9
Apr 2005,Canada,All-items,106.6, 0.3%, 2.4%,109.2
May 2005,Canada,All-items,106.7, 0.1%, 1.6%,109.3
Jun 2005,Canada,All-items,106.9, 0.2%, 1.7%,109.5
Jul 2005,Canada,All-items,107.1, 0.2%, 2.0%,109.7
Aug 2005,Canada,All-items,107.5, 0.4%, 2.6%,110.1
Sep 2005,Canada,All-items,108.4, 0.8%, 3.2%,111.1
Oct 2005,Canada,All-items,107.9,-0.5%, 2.6%,110.6
Nov 2005,Canada,All-items,107.7,-0.2%, 2.0%,110.3
Dec 2005,Canada,All-items,107.6,-0.1%, 2.1%,110.2
Jan 2006,Canada,All-items,108.2, 0.6%, 2.8%,110.9
Feb 2006,Canada,All-items,108.0,-0.2%, 2.2%,110.7
Mar 2006,Canada,All-items,108.6, 0.6%, 2.2%,111.3
Apr 2006,Canada,All-items,109.2, 0.6%, 2.4%,111.9
May 2006,Canada,All-items,109.7, 0.5%, 2.8%,112.4
Jun 2006,Canada,All-items,109.5,-0.2%, 2.4%,112.2
Jul 2006,Canada,All-items,109.6, 0.1%, 2.3%,112.3
Aug 2006,Canada,All-items,109.8, 0.2%, 2.1%,112.5
Sep 2006,Canada,All-items,109.2,-0.5%, 0.7%,111.9
Oct 2006,Canada,All-items,109.0,-0.2%, 1.0%,111.7
Nov 2006,Canada,All-items,109.2, 0.2%, 1.4%,111.9
Dec 2006,Canada,All-items,109.4, 0.2%, 1.7%,112.1
Jan 2007,Canada,All-items,109.4, 0.0%, 1.1%,112.1
Feb 2007,Canada,All-items,110.2, 0.7%, 2.0%,112.9
Mar 2007,Canada,All-items,111.1, 0.8%, 2.3%,113.8
Apr 2007,Canada,All-items,111.6, 0.5%, 2.2%,114.3
May 2007,Canada,All-items,112.1, 0.4%, 2.2%,114.9
Jun 2007,Canada,All-items,111.9,-0.2%, 2.2%,114.7
Jul 2007,Canada,All-items,112.0, 0.1%, 2.2%,114.8
Aug 2007,Canada,All-items,111.7,-0.3%, 1.7%,114.4
Sep 2007,Canada,All-items,111.9, 0.2%, 2.5%,114.7
Oct 2007,Canada,All-items,111.6,-0.3%, 2.4%,114.3
Nov 2007,Canada,All-items,111.9, 0.3%, 2.5%,114.7
Dec 2007,Canada,All-items,112.0, 0.1%, 2.4%,114.8
Jan 2008,Canada,All-items,111.8,-0.2%, 2.2%,114.5
Feb 2008,Canada,All-items,112.2, 0.4%, 1.8%,115.0
Mar 2008,Canada,All-items,112.6, 0.4%, 1.4%,115.4
Apr 2008,Canada,All-items,113.5, 0.8%, 1.7%,116.3
May 2008,Canada,All-items,114.6, 1.0%, 2.2%,117.4
Jun 2008,Canada,All-items,115.4, 0.7%, 3.1%,118.2
Jul 2008,Canada,All-items,115.8, 0.3%, 3.4%,118.6
Aug 2008,Canada,All-items,115.6,-0.2%, 3.5%,118.4
Sep 2008,Canada,All-items,115.7, 0.1%, 3.4%,118.5
Oct 2008,Canada,All-items,114.5,-1.0%, 2.6%,117.3
Nov 2008,Canada,All-items,114.1,-0.3%, 2.0%,116.9
Dec 2008,Canada,All-items,113.3,-0.7%, 1.2%,116.1
Jan 2009,Canada,All-items,113.0,-0.3%, 1.1%,115.8
Feb 2009,Canada,All-items,113.8, 0.7%, 1.4%,116.6
Mar 2009,Canada,All-items,114.0, 0.2%, 1.2%,116.8
Apr 2009,Canada,All-items,113.9,-0.1%, 0.4%,116.7
May 2009,Canada,All-items,114.7, 0.7%, 0.1%,117.5
Jun 2009,Canada,All-items,115.1, 0.3%,-0.3%,117.9
Jul 2009,Canada,All-items,114.7,-0.3%,-0.9%,117.5
Aug 2009,Canada,All-items,114.7, 0.0%,-0.8%,117.5
Sep 2009,Canada,All-items,114.7, 0.0%,-0.9%,117.5
Oct 2009,Canada,All-items,114.6,-0.1%, 0.1%,117.4
Nov 2009,Canada,All-items,115.2, 0.5%, 1.0%,118.0
Dec 2009,Canada,All-items,114.8,-0.3%, 1.3%,117.6
Jan 2010,Canada,All-items,115.1, 0.3%, 1.9%,117.9
Feb 2010,Canada,All-items,115.6, 0.4%, 1.6%,118.4
Mar 2010,Canada,All-items,115.6, 0.0%, 1.4%,118.4
Apr 2010,Canada,All-items,116.0, 0.3%, 1.8%,118.9
May 2010,Canada,All-items,116.3, 0.3%, 1.4%,119.2
Jun 2010,Canada,All-items,116.2,-0.1%, 1.0%,119.1
Jul 2010,Canada,All-items,116.8, 0.5%, 1.8%,119.7
Aug 2010,Canada,All-items,116.7,-0.1%, 1.7%,119.6
Sep 2010,Canada,All-items,116.9, 0.2%, 1.9%,119.8
Oct 2010,Canada,All-items,117.4, 0.4%, 2.4%,120.3
Nov 2010,Canada,All-items,117.5, 0.1%, 2.0%,120.4
Dec 2010,Canada,All-items,117.5, 0.0%, 2.4%,120.4
Jan 2011,Canada,All-items,117.8, 0.3%, 2.3%,120.7
Feb 2011,Canada,All-items,118.1, 0.3%, 2.2%,121.0
Mar 2011,Canada,All-items,119.4, 1.1%, 3.3%,122.3
Apr 2011,Canada,All-items,119.8, 0.3%, 3.3%,122.7
May 2011,Canada,All-items,120.6, 0.7%, 3.7%,123.6
Jun 2011,Canada,All-items,119.8,-0.7%, 3.1%,122.7
Jul 2011,Canada,All-items,120.0, 0.2%, 2.7%,123.0
Aug 2011,Canada,All-items,120.3, 0.2%, 3.1%,123.3
Sep 2011,Canada,All-items,120.6, 0.2%, 3.2%,123.6
Oct 2011,Canada,All-items,120.8, 0.2%, 2.9%,123.8
Nov 2011,Canada,All-items,120.9, 0.1%, 2.9%,123.9
Dec 2011,Canada,All-items,120.2,-0.6%, 2.3%,123.2
Jan 2012,Canada,All-items,120.7, 0.4%, 2.5%,123.7
Feb 2012,Canada,All-items,121.2, 0.4%, 2.6%,124.2
Mar 2012,Canada,All-items,121.7, 0.4%, 1.9%,124.7
Apr 2012,Canada,All-items,122.2, 0.4%, 2.0%,125.2
May 2012,Canada,All-items,122.1,-0.1%, 1.2%,125.1
Jun 2012,Canada,All-items,121.6,-0.4%, 1.5%,124.6
Jul 2012,Canada,All-items,121.5,-0.1%, 1.3%,124.5
Aug 2012,Canada,All-items,121.8, 0.2%, 1.2%,124.8
Sep 2012,Canada,All-items,122.0, 0.2%, 1.2%,125.0
Oct 2012,Canada,All-items,122.2, 0.2%, 1.2%,125.2
Nov 2012,Canada,All-items,121.9,-0.2%, 0.8%,124.9
Dec 2012,Canada,All-items,121.2,-0.6%, 0.8%,124.2
Jan 2013,Canada,All-items,121.3, 0.1%, 0.5%,124.3
