Month,Geography,Seasonal adjustment,Prices,North American Industry Classification System (NAICS),Value,Monthly Change,Yearly change,Indexed value
Jan 2002,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,463,177",  1.1%,  2.0%,100.0
Feb 2002,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,471,175",  0.5%,  2.6%,100.5
Mar 2002,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,469,679", -0.1%,  2.4%,100.4
Apr 2002,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,480,103",  0.7%,  3.3%,101.2
May 2002,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,482,323",  0.1%,  3.0%,101.3
Jun 2002,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,483,988",  0.1%,  3.2%,101.4
Jul 2002,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,489,746",  0.4%,  3.7%,101.8
Aug 2002,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,495,281",  0.4%,  3.8%,102.2
Sep 2002,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,491,822", -0.2%,  4.1%,102.0
Oct 2002,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,500,765",  0.6%,  4.2%,102.6
Nov 2002,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,500,000", -0.1%,  3.5%,102.5
Dec 2002,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,495,415", -0.3%,  3.3%,102.2
Jan 2003,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,503,083",  0.5%,  2.7%,102.7
Feb 2003,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,506,922",  0.3%,  2.4%,103.0
Mar 2003,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,505,292", -0.1%,  2.4%,102.9
Apr 2003,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,500,278", -0.3%,  1.4%,102.5
May 2003,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,504,638",  0.3%,  1.5%,102.8
Jun 2003,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,509,059",  0.3%,  1.7%,103.1
Jul 2003,Canada,Seasonally adjusted at annual rates,Chained (2017) dollars,All industries,"$1,516,896",  0.5%,  1.8%,103.7
