observation_date,POPTHM
2002-01-01,286739
2002-02-01,286935
2002-03-01,287131
2002-04-01,287343
2002-05-01,287571
2002-06-01,287808
2002-07-01,288051
2002-08-01,288303
2002-09-01,288554
2002-10-01,288794
2002-11-01,289012
2002-12-01,289214
2003-01-01,289412
2003-02-01,289606
2003-03-01,289809
2003-04-01,290024
2003-05-01,290250
2003-06-01,290484
2003-07-01,290726
2003-08-01,290974
2003-09-01,291222
2003-10-01,291463
2003-11-01,291677
2003-12-01,291868
2004-01-01,292046
2004-02-01,292230
2004-03-01,292434
2004-04-01,292651
2004-05-01,292872
2004-06-01,293103
2004-07-01,293350
2004-08-01,293603
2004-09-01,293857
2004-10-01,294104
2004-11-01,294337
2004-12-01,294561
2005-01-01,294768
2005-02-01,294955
2005-03-01,295149
2005-04-01,295359
2005-05-01,295582
2005-06-01,295824
2005-07-01,296077
2005-08-01,296338
2005-09-01,296606
2005-10-01,296857
2005-11-01,297089
2005-12-01,297311
2006-01-01,297526
2006-02-01,297734
2006-03-01,297950
2006-04-01,298170
2006-05-01,298401
2006-06-01,298653
2006-07-01,298910
2006-08-01,299178
2006-09-01,299452
2006-10-01,299710
2006-11-01,299950
2006-12-01,300178
2007-01-01,300398
2007-02-01,300608
2007-03-01,300823
2007-04-01,301045
2007-05-01,301278
2007-06-01,301528
2007-07-01,301790
2007-08-01,302064
2007-09-01,302334
2007-10-01,302590
2007-11-01,302834
2007-12-01,303062
2008-01-01,303280
2008-02-01,303494
2008-03-01,303707
2008-04-01,303926
2008-05-01,304157
2008-06-01,304396
2008-07-01,304646
2008-08-01,304903
2008-09-01,305158
2008-10-01,305403
2008-11-01,305620
2008-12-01,305827
2009-01-01,306035
2009-02-01,306237
2009-03-01,306438
2009-04-01,306645
2009-05-01,306863
2009-06-01,307090
2009-07-01,307322
2009-08-01,307570
2009-09-01,307826
2009-10-01,308071
2009-11-01,308289
2009-12-01,308495
2010-01-01,308706
2010-02-01,308904
2010-03-01,309095
2010-04-01,309289
2010-05-01,309485
2010-06-01,309691
2010-07-01,309913
2010-08-01,310146
2010-09-01,310385
2010-10-01,310612
2010-11-01,310820
2010-12-01,311020
2011-01-01,311204
2011-02-01,311373
2011-03-01,311551
2011-04-01,311740
2011-05-01,311935
2011-06-01,312147
2011-07-01,312372
2011-08-01,312605
2011-09-01,312842
2011-10-01,313060
2011-11-01,313260
2011-12-01,313454
2012-01-01,313636
2012-02-01,313811
2012-03-01,313993
2012-04-01,314176
2012-05-01,314368
2012-06-01,314576
2012-07-01,314796
2012-08-01,315031
2012-09-01,315264
2012-10-01,315485
2012-11-01,315692
2012-12-01,315877
2013-01-01,316038
2013-02-01,316191
2013-03-01,316357
2013-04-01,316535
2013-05-01,316729
2013-06-01,316934
2013-07-01,317156
2013-08-01,317397
2013-09-01,317635
2013-10-01,317864
2013-11-01,318076
2013-12-01,318276
2014-01-01,318464
2014-02-01,318642
2014-03-01,318827
2014-04-01,319020
2014-05-01,319225
2014-06-01,319438
2014-07-01,319670
2014-08-01,319919
2014-09-01,320166
2014-10-01,320403
2014-11-01,320616
2014-12-01,320815
2015-01-01,320997
2015-02-01,321164
2015-03-01,321344
2015-04-01,321538
2015-05-01,321740
2015-06-01,321954
2015-07-01,322186
2015-08-01,322427
2015-09-01,322670
2015-10-01,322901
2015-11-01,323113
2015-12-01,323318
2016-01-01,323509
2016-02-01,323687
2016-03-01,323871
2016-04-01,324061
2016-05-01,324260
2016-06-01,324476
2016-07-01,324697
2016-08-01,324924
2016-09-01,325155
2016-10-01,325368
2016-11-01,325562
2016-12-01,325742
2017-01-01,325901
2017-02-01,326050
2017-03-01,326207
2017-04-01,326371
2017-05-01,326548
2017-06-01,326743
2017-07-01,326939
2017-08-01,327140
2017-09-01,327342
2017-10-01,327528
2017-11-01,327699
2017-12-01,327848
2018-01-01,327969
2018-02-01,328085
2018-03-01,328219
2018-04-01,328364
2018-05-01,328521
2018-06-01,328692
2018-07-01,328863
2018-08-01,329040
2018-09-01,329216
2018-10-01,329379
2018-11-01,329527
2018-12-01,329659
2019-01-01,329766
2019-02-01,329862
2019-03-01,329977
2019-04-01,330103
2019-05-01,330240
2019-06-01,330393
2019-07-01,330553
2019-08-01,330729
2019-09-01,330904
2019-10-01,331066
2019-11-01,331213
2019-12-01,331345
2020-01-01,331443
2020-02-01,331525
2020-03-01,331642
2020-04-01,331699
2020-05-01,331701
2020-06-01,331744
2020-07-01,331811
2020-08-01,331885
2020-09-01,331966
2020-10-01,332041
2020-11-01,332079
2020-12-01,332062
2021-01-01,332007
2021-02-01,331983
2021-03-01,332023
2021-04-01,332089
2021-05-01,332161
2021-06-01,332249
2021-07-01,332375
2021-08-01,332506
2021-09-01,332610
2021-10-01,332708
2021-11-01,332806
2021-12-01,332891
2022-01-01,332933
2022-02-01,332972
2022-03-01,333067
2022-04-01,333191
2022-05-01,333317
2022-06-01,333451
2022-07-01,333599
2022-08-01,333762
2022-09-01,333925
2022-10-01,334071
2022-11-01,334206
2022-12-01,334326
2023-01-01,334433
2023-02-01,334544
2023-03-01,334664
2023-04-01,334792
2023-05-01,334929
2023-06-01,335080
2023-07-01,335248
2023-08-01,335431
2023-09-01,335612
2023-10-01,335773
2023-11-01,335925
2023-12-01,336070
2024-01-01,336194
2024-02-01,336306
2024-03-01,336423
2024-04-01,336550
2024-05-01,336687
2024-06-01,336839
2024-07-01,337005
2024-08-01,337185
2024-09-01,337362
2024-10-01,337521
