Month,Geography,North American Product Classification System (NAPCS),Value,Monthly Change,Yearly change,Indexed value
Jan 2002,Canada,"Total, Industrial product price index (IPPI)", 76.2, 0.9%,-1.2%,100.0
Feb 2002,Canada,"Total, Industrial product price index (IPPI)", 76.6, 0.5%,-1.2%,100.5
Mar 2002,Canada,"Total, Industrial product price index (IPPI)", 77.1, 0.7%,-0.9%,101.2
Apr 2002,Canada,"Total, Industrial product price index (IPPI)", 77.3, 0.3%,-1.2%,101.4
May 2002,Canada,"Total, Industrial product price index (IPPI)", 76.8,-0.6%,-2.2%,100.8
Jun 2002,Canada,"Total, Industrial product price index (IPPI)", 76.6,-0.3%,-1.2%,100.5
Jul 2002,Canada,"Total, Industrial product price index (IPPI)", 76.8, 0.3%,-0.1%,100.8
Aug 2002,Canada,"Total, Industrial product price index (IPPI)", 77.4, 0.8%, 0.7%,101.6
Sep 2002,Canada,"Total, Industrial product price index (IPPI)", 78.0, 0.8%, 0.6%,102.4
Oct 2002,Canada,"Total, Industrial product price index (IPPI)", 78.2, 0.3%, 2.4%,102.6
Nov 2002,Canada,"Total, Industrial product price index (IPPI)", 77.9,-0.4%, 2.1%,102.2
Dec 2002,Canada,"Total, Industrial product price index (IPPI)", 77.7,-0.3%, 2.9%,102.0
Jan 2003,Canada,"Total, Industrial product price index (IPPI)", 78.1, 0.5%, 2.5%,102.5
Feb 2003,Canada,"Total, Industrial product price index (IPPI)", 78.8, 0.9%, 2.9%,103.4
Mar 2003,Canada,"Total, Industrial product price index (IPPI)", 78.5,-0.4%, 1.8%,103.0
Apr 2003,Canada,"Total, Industrial product price index (IPPI)", 77.1,-1.8%,-0.3%,101.2
May 2003,Canada,"Total, Industrial product price index (IPPI)", 75.4,-2.2%,-1.8%, 99.0
Jun 2003,Canada,"Total, Industrial product price index (IPPI)", 74.8,-0.8%,-2.3%, 98.2
Jul 2003,Canada,"Total, Industrial product price index (IPPI)", 75.7, 1.2%,-1.4%, 99.3
Aug 2003,Canada,"Total, Industrial product price index (IPPI)", 76.1, 0.5%,-1.7%, 99.9
Sep 2003,Canada,"Total, Industrial product price index (IPPI)", 76.1, 0.0%,-2.4%, 99.9
Oct 2003,Canada,"Total, Industrial product price index (IPPI)", 75.1,-1.3%,-4.0%, 98.6
Nov 2003,Canada,"Total, Industrial product price index (IPPI)", 74.8,-0.4%,-4.0%, 98.2
Dec 2003,Canada,"Total, Industrial product price index (IPPI)", 75.0, 0.3%,-3.5%, 98.4
Jan 2004,Canada,"Total, Industrial product price index (IPPI)", 75.6, 0.8%,-3.2%, 99.2
Feb 2004,Canada,"Total, Industrial product price index (IPPI)", 77.3, 2.2%,-1.9%,101.4
Mar 2004,Canada,"Total, Industrial product price index (IPPI)", 77.8, 0.6%,-0.9%,102.1
Apr 2004,Canada,"Total, Industrial product price index (IPPI)", 78.8, 1.3%, 2.2%,103.4
May 2004,Canada,"Total, Industrial product price index (IPPI)", 80.4, 2.0%, 6.6%,105.5
Jun 2004,Canada,"Total, Industrial product price index (IPPI)", 80.0,-0.5%, 7.0%,105.0
Jul 2004,Canada,"Total, Industrial product price index (IPPI)", 79.8,-0.3%, 5.4%,104.7
Aug 2004,Canada,"Total, Industrial product price index (IPPI)", 80.2, 0.5%, 5.4%,105.2
Sep 2004,Canada,"Total, Industrial product price index (IPPI)", 79.8,-0.5%, 4.9%,104.7
Oct 2004,Canada,"Total, Industrial product price index (IPPI)", 79.3,-0.6%, 5.6%,104.1
Nov 2004,Canada,"Total, Industrial product price index (IPPI)", 77.8,-1.9%, 4.0%,102.1
Dec 2004,Canada,"Total, Industrial product price index (IPPI)", 77.9, 0.1%, 3.9%,102.2
Jan 2005,Canada,"Total, Industrial product price index (IPPI)", 78.6, 0.9%, 4.0%,103.1
Feb 2005,Canada,"Total, Industrial product price index (IPPI)", 79.6, 1.3%, 3.0%,104.5
Mar 2005,Canada,"Total, Industrial product price index (IPPI)", 80.0, 0.5%, 2.8%,105.0
Apr 2005,Canada,"Total, Industrial product price index (IPPI)", 80.3, 0.4%, 1.9%,105.4
May 2005,Canada,"Total, Industrial product price index (IPPI)", 80.2,-0.1%,-0.2%,105.2
Jun 2005,Canada,"Total, Industrial product price index (IPPI)", 80.0,-0.2%, 0.0%,105.0
Jul 2005,Canada,"Total, Industrial product price index (IPPI)", 79.8,-0.3%, 0.0%,104.7
Aug 2005,Canada,"Total, Industrial product price index (IPPI)", 80.1, 0.4%,-0.1%,105.1
Sep 2005,Canada,"Total, Industrial product price index (IPPI)", 80.7, 0.7%, 1.1%,105.9
Oct 2005,Canada,"Total, Industrial product price index (IPPI)", 80.8, 0.1%, 1.9%,106.0
Nov 2005,Canada,"Total, Industrial product price index (IPPI)", 80.2,-0.7%, 3.1%,105.2
Dec 2005,Canada,"Total, Industrial product price index (IPPI)", 80.0,-0.2%, 2.7%,105.0
Jan 2006,Canada,"Total, Industrial product price index (IPPI)", 80.6, 0.7%, 2.5%,105.8
Feb 2006,Canada,"Total, Industrial product price index (IPPI)", 80.2,-0.5%, 0.8%,105.2
Mar 2006,Canada,"Total, Industrial product price index (IPPI)", 81.0, 1.0%, 1.3%,106.3
Apr 2006,Canada,"Total, Industrial product price index (IPPI)", 82.0, 1.2%, 2.1%,107.6
May 2006,Canada,"Total, Industrial product price index (IPPI)", 82.2, 0.2%, 2.5%,107.9
Jun 2006,Canada,"Total, Industrial product price index (IPPI)", 82.1,-0.1%, 2.6%,107.7
Jul 2006,Canada,"Total, Industrial product price index (IPPI)", 83.5, 1.7%, 4.6%,109.6
Aug 2006,Canada,"Total, Industrial product price index (IPPI)", 82.9,-0.7%, 3.5%,108.8
Sep 2006,Canada,"Total, Industrial product price index (IPPI)", 81.6,-1.6%, 1.1%,107.1
Oct 2006,Canada,"Total, Industrial product price index (IPPI)", 81.5,-0.1%, 0.9%,107.0
Nov 2006,Canada,"Total, Industrial product price index (IPPI)", 81.6, 0.1%, 1.7%,107.1
Dec 2006,Canada,"Total, Industrial product price index (IPPI)", 82.7, 1.3%, 3.4%,108.5
Jan 2007,Canada,"Total, Industrial product price index (IPPI)", 82.9, 0.2%, 2.9%,108.8
Feb 2007,Canada,"Total, Industrial product price index (IPPI)", 83.7, 1.0%, 4.4%,109.8
Mar 2007,Canada,"Total, Industrial product price index (IPPI)", 84.9, 1.4%, 4.8%,111.4
Apr 2007,Canada,"Total, Industrial product price index (IPPI)", 85.1, 0.2%, 3.8%,111.7
May 2007,Canada,"Total, Industrial product price index (IPPI)", 84.8,-0.4%, 3.2%,111.3
Jun 2007,Canada,"Total, Industrial product price index (IPPI)", 83.8,-1.2%, 2.1%,110.0
Jul 2007,Canada,"Total, Industrial product price index (IPPI)", 83.3,-0.6%,-0.2%,109.3
Aug 2007,Canada,"Total, Industrial product price index (IPPI)", 82.5,-1.0%,-0.5%,108.3
