prime_rate_CA,unemployment_CA,consumer_price_index_CA,GDP_CA,industrial_price_index_CA
3.75,12907302, 97.6,1463177, 76.2
3.75,12977263, 98.2,1471175, 76.6
3.75,12973168, 98.9,1469679, 77.1
4.00,12987076, 99.5,1480103, 77.3
4.00,13026615, 99.7,1482323, 76.8
4.25,13063157, 99.9,1483988, 76.6
4.50,13116471,100.5,1489746, 76.8
4.50,13212788,100.9,1495281, 77.4
4.50,13188047,100.9,1491822, 78.0
4.50,13186041,101.2,1500765, 78.2
4.50,13222418,101.5,1500000, 77.9
4.50,13216568,101.1,1495415, 77.7
4.50,13260282,102.0,1503083, 78.1
4.50,13258947,102.8,1506922, 78.8
4.75,13323306,103.1,1505292, 78.5
5.00,13300218,102.4,1500278, 77.1
5.00,13313730,102.5,1504638, 75.4
5.00,13335533,102.5,1509059, 74.8
4.75,13317528,102.6,1516896, 75.7
4.75,13322913,102.9,1502384, 76.1
4.50,13308290,103.1,1520964, 76.1
4.50,13354201,102.8,1527651, 75.1
4.50,13357045,103.1,1529285, 74.8
4.50,13354370,103.2,1535717, 75.0
4.25,13387383,103.3,1538379, 75.6
4.25,13340228,103.5,1537381, 77.3
4.00,13392295,103.9,1551047, 77.8
3.75,13439916,104.1,1554989, 78.8
3.75,13462960,105.0,1556495, 80.4
3.75,13465160,105.1,1564093, 80.0
3.75,13520895,105.0,1565550, 79.8
3.75,13461771,104.8,1572221, 80.2
4.00,13519241,105.0,1576659, 79.8
4.25,13533250,105.2,1577208, 79.3
4.25,13523880,105.6,1583191, 77.8
4.25,13579833,105.4,1583575, 77.9
4.25,13562318,105.3,1591349, 78.6
4.25,13589500,105.7,1592499, 79.6
4.25,13594668,106.3,1587122, 80.0
4.25,13631691,106.6,1598907, 80.3
4.25,13622705,106.7,1605776, 80.2
4.25,13668900,106.9,1610588, 80.0
4.25,13694636,107.1,1614748, 79.8
4.25,13732022,107.5,1620834, 80.1
4.50,13762749,108.4,1622168, 80.7
4.75,13781253,107.9,1627587, 80.8
4.75,13824431,107.7,1636455, 80.2
5.00,13861882,107.6,1645055, 80.0
5.25,13922770,108.2,1649021, 80.6
5.25,13980076,108.0,1652615, 80.2
5.50,14007015,108.6,1656380, 81.0
5.75,14034444,109.2,1656732, 82.0
6.00,14058579,109.7,1657513, 82.2
6.00,14083860,109.5,1654837, 82.1
6.00,14068519,109.6,1657920, 83.5
6.00,14076740,109.8,1659196, 82.9
6.00,14116784,109.2,1656876, 81.6
6.00,14079425,109.0,1659594, 81.5
6.00,14209013,109.2,1663364, 81.6
6.00,14209455,109.4,1673956, 82.7
6.25,14250058,109.4,1670535, 82.9
6.25,14282523,110.2,1678760, 83.7
6.25,14293539,111.1,1682294, 84.9
6.25,14299912,111.6,1684443, 85.1
6.25,14358659,112.1,1691753, 84.8
6.25,14381801,111.9,1696447, 83.8
6.25,14406170,112.0,1696013, 83.3
6.25,14478752,111.7,1700841, 82.5
6.25,14480900,111.9,1697794, 81.8
6.25,14524844,111.6,1699351, 80.8
6.25,14509290,111.9,1700851, 81.3
6.00,14503015,112.0,1694291, 82.3
5.75,14598924,111.8,1701279, 83.2
5.75,14577601,112.2,1698189, 83.2
5.25,14619559,112.6,1701248, 84.9
4.75,14667016,113.5,1704814, 86.3
4.75,14695740,114.6,1704784, 87.2
4.75,14708296,115.4,1708170, 88.8
4.75,14704290,115.8,1715622, 89.6
4.75,14742927,115.6,1714295, 89.8
4.75,14727185,115.7,1714712, 88.8
4.13,14739059,114.5,1712871, 88.7
4.13,14670815,114.1,1695651, 86.1
3.25,14622350,113.3,1672410, 83.9
2.75,14535832,113.0,1664411, 83.9
2.75,14502900,113.8,1655773, 84.3
2.50,14432188,114.0,1642352, 84.6
2.25,14382808,113.9,1637034, 84.3
2.25,14363966,114.7,1635329, 83.3
2.25,14333110,115.1,1637232, 83.7
2.25,14364733,114.7,1639863, 83.2
2.25,14283092,114.7,1639145, 83.6
2.25,14314643,114.7,1651417, 83.2
2.25,14336328,114.6,1653106, 82.9
2.25,14360557,115.2,1662710, 83.6
2.25,14374230,114.8,1667429, 83.6
2.75,14380938,115.1,1677635, 84.1
2.75,14401914,115.6,1686315, 84.1
2.75,14419449,115.6,1694468, 84.1
2.75,14443934,116.0,1692492, 84.5
2.75,14435958,116.3,1700050, 84.8
2.50,14455304,116.2,1704611, 84.2
2.75,14506360,116.8,1707189, 84.1
2.75,14475308,116.7,1712496, 84.4
