prime_rate_CA,unemployment_CA,consumer_price_index_CA,GDP_CA,industrial_price_index_CA, labor_participation_US,consumer_price_index_US,population_US,price_per_commodity_US,unemployment_US,prime_rate_US
3.75,12907302, 97.6,1463177, 76.2, 66.5,2.76158967150149026,286739,128.500,5.7,4.75
3.75,12977263, 98.2,1471175, 76.6, 66.8,3.38352407504046004,286935,128.400,5.7,4.75
3.75,12973168, 98.9,1469679, 77.1, 66.6,2.87262142303709966,287131,129.800,5.7,4.75
4.00,12987076, 99.5,1480103, 77.3, 66.7,2.67648214481753000,287343,130.800,5.9,4.75
4.00,13026615, 99.7,1482323, 76.8, 66.7,2.42019843819256986,287571,130.800,5.8,4.75
4.25,13063157, 99.9,1483988, 76.6, 66.6,2.50253319887129999,287808,130.900,5.8,4.75
4.50,13116471,100.5,1489746, 76.8, 66.5,2.24505523113134009,288051,131.200,5.8,4.75
4.50,13212788,100.9,1495281, 77.4, 66.6,2.28572177593908998,288303,131.500,5.7,4.75
4.50,13188047,100.9,1491822, 78.0, 66.7,2.71779789775747993,288554,132.300,5.7,4.75
4.50,13186041,101.2,1500765, 78.2, 66.6,2.31390307533893980,288794,133.200,5.7,4.75
4.50,13222418,101.5,1500000, 77.9, 66.4,1.91097600745183049,289012,133.100,5.9,4.25
4.50,13216568,101.1,1495415, 77.7, 66.3,3.01261428455381974,289214,132.900,6.0,4.25
4.50,13260282,102.0,1503083, 78.1, 66.4,2.18139042769815994,289412,135.300,5.8,4.25
4.50,13258947,102.8,1506922, 78.8, 66.4,1.97583023449681039,289606,137.600,5.9,4.25
4.75,13323306,103.1,1505292, 78.5, 66.3,1.12621180925948994,289809,141.200,5.9,4.25
5.00,13300218,102.4,1500278, 77.1, 66.4,0.55303689047201399,290024,136.800,6.0,4.25
5.00,13313730,102.5,1504638, 75.4, 66.4,1.07578818642804008,290250,136.700,6.1,4.25
5.00,13335533,102.5,1509059, 74.8, 66.5,1.12305963544220999,290484,138.000,6.3,4.00
4.75,13317528,102.6,1516896, 75.7, 66.2,2.67107312265710961,290726,137.700,6.2,4.00
4.75,13322913,102.9,1502384, 76.1, 66.1,2.35741426924818009,290974,138.000,6.1,4.00
4.50,13308290,103.1,1520964, 76.1, 66.1,2.02226514469577001,291222,138.500,6.1,4.00
4.50,13354201,102.8,1527651, 75.1, 66.1,2.09586749439761011,291463,139.300,6.0,4.00
4.50,13357045,103.1,1529285, 74.8, 66.1,1.18636241164811018,291677,138.900,5.8,4.00
4.50,13354370,103.2,1535717, 75.0, 65.9,1.79882233944806003,291868,139.500,5.7,4.00
4.25,13387383,103.3,1538379, 75.6, 66.1,2.22007470598395029,292046,141.400,5.7,4.00
4.25,13340228,103.5,1537381, 77.3, 66.0,2.91265455346974012,292230,142.100,5.6,4.00
4.00,13392295,103.9,1551047, 77.8, 66.0,2.73440226821978971,292434,143.100,5.8,4.00
3.75,13439916,104.1,1554989, 78.8, 65.9,2.53838192695393028,292651,144.800,5.6,4.00
3.75,13462960,105.0,1556495, 80.4, 66.0,3.21749489052706972,292872,146.800,5.6,4.00
3.75,13465160,105.1,1564093, 80.0, 66.1,2.72493144884724980,293103,147.200,5.6,4.25
3.75,13520895,105.0,1565550, 79.8, 66.1,1.77113695955513006,293350,147.400,5.5,4.25
3.75,13461771,104.8,1572221, 80.2, 66.0,2.87323745174035006,293603,148.000,5.4,4.50
4.00,13519241,105.0,1576659, 79.8, 65.8,2.14663499527530011,293857,147.700,5.4,4.75
4.25,13533250,105.2,1577208, 79.3, 65.9,2.66050109372762034,294104,150.000,5.5,4.75
4.25,13523880,105.6,1583191, 77.8, 66.0,1.48006630553789997,294337,151.400,5.4,5.00
4.25,13579833,105.4,1583575, 77.9, 65.9,1.91524972608855992,294561,150.200,5.4,5.25
4.25,13562318,105.3,1591349, 78.6, 65.8,3.42175913634541029,294768,150.900,5.3,5.25
4.25,13589500,105.7,1592499, 79.6, 65.9,3.30400229074103979,294955,151.600,5.4,5.50
4.25,13594668,106.3,1587122, 80.0, 65.9,1.89717939501216959,295149,153.700,5.2,5.75
4.25,13631691,106.6,1598907, 80.3, 66.1,2.09647901335651987,295359,155.000,5.2,5.75
4.25,13622705,106.7,1605776, 80.2, 66.1,3.16846235161855994,295582,154.300,5.1,6.00
4.25,13668900,106.9,1610588, 80.0, 66.1,1.62477538920178000,295824,154.300,5.0,6.00
4.25,13694636,107.1,1614748, 79.8, 66.1,3.02864557347464025,296077,156.300,5.0,6.25
4.25,13732022,107.5,1620834, 80.1, 66.2,2.22215620270876002,296338,157.600,4.9,6.50
4.50,13762749,108.4,1622168, 80.7, 66.1,4.02470724061161000,296606,162.200,5.0,6.75
4.75,13781253,107.9,1627587, 80.8, 66.1,3.33157515598618970,296857,166.200,5.0,7.00
4.75,13824431,107.7,1636455, 80.2, 66.0,2.83691194814225955,297089,163.700,5.0,7.00
5.00,13861882,107.6,1645055, 80.0, 66.0,2.20489319920400995,297311,163.000,4.9,7.25
5.25,13922770,108.2,1649021, 80.6, 66.0,2.88432186623886011,297526,164.300,4.7,7.50
5.25,13980076,108.0,1652615, 80.2, 66.1,2.07202087371556010,297734,161.800,4.8,7.50
5.50,14007015,108.6,1656380, 81.0, 66.2,3.08218251360962991,297950,162.200,4.7,7.75
5.75,14034444,109.2,1656732, 82.0, 66.1,2.88703161651259999,298170,164.300,4.7,7.75
6.00,14058579,109.7,1657513, 82.2, 66.1,4.28816068458392952,298401,165.800,4.6,8.00
6.00,14083860,109.5,1654837, 82.1, 66.2,3.19983083499134002,298653,166.100,4.6,8.25
6.00,14068519,109.6,1657920, 83.5, 66.1,3.05393052415283961,298910,166.800,4.7,8.25
6.00,14076740,109.8,1659196, 82.9, 66.2,4.62137039677920924,299178,167.900,4.7,8.25
6.00,14116784,109.2,1656876, 81.6, 66.1,2.10626377333666959,299452,165.400,4.5,8.25
6.00,14079425,109.0,1659594, 81.5, 66.2,3.65069704001577033,299710,162.200,4.4,8.25
6.00,14209013,109.2,1663364, 81.6, 66.3,3.02469916751934997,299950,164.600,4.5,8.25
6.00,14209455,109.4,1673956, 82.7, 66.4,2.72554654380133021,300178,165.600,4.4,8.25
6.25,14250058,109.4,1670535, 82.9, 66.4,2.96441026316891953,300398,164.000,4.6,8.25
6.25,14282523,110.2,1678760, 83.7, 66.3,4.44702564001934952,300608,166.800,4.5,8.25
6.25,14293539,111.1,1682294, 84.9, 66.2,2.68853112184252963,300823,169.300,4.4,8.25
