labor_participation_US,consumer_price_index_US,population_US,price_per_commodity_US,unemployment_US,prime_rate_US
66.5,2.76158967150149026,286739,128.500,5.7,4.75
66.8,3.38352407504046004,286935,128.400,5.7,4.75
66.6,2.87262142303709966,287131,129.800,5.7,4.75
66.7,2.67648214481753000,287343,130.800,5.9,4.75
66.7,2.42019843819256986,287571,130.800,5.8,4.75
66.6,2.50253319887129999,287808,130.900,5.8,4.75
66.5,2.24505523113134009,288051,131.200,5.8,4.75
66.6,2.28572177593908998,288303,131.500,5.7,4.75
66.7,2.71779789775747993,288554,132.300,5.7,4.75
66.6,2.31390307533893980,288794,133.200,5.7,4.75
66.4,1.91097600745183049,289012,133.100,5.9,4.25
66.3,3.01261428455381974,289214,132.900,6.0,4.25
66.4,2.18139042769815994,289412,135.300,5.8,4.25
66.4,1.97583023449681039,289606,137.600,5.9,4.25
66.3,1.12621180925948994,289809,141.200,5.9,4.25
66.4,0.55303689047201399,290024,136.800,6.0,4.25
66.4,1.07578818642804008,290250,136.700,6.1,4.25
66.5,1.12305963544220999,290484,138.000,6.3,4.00
66.2,2.67107312265710961,290726,137.700,6.2,4.00
66.1,2.35741426924818009,290974,138.000,6.1,4.00
66.1,2.02226514469577001,291222,138.500,6.1,4.00
66.1,2.09586749439761011,291463,139.300,6.0,4.00
66.1,1.18636241164811018,291677,138.900,5.8,4.00
65.9,1.79882233944806003,291868,139.500,5.7,4.00
66.1,2.22007470598395029,292046,141.400,5.7,4.00
66.0,2.91265455346974012,292230,142.100,5.6,4.00
66.0,2.73440226821978971,292434,143.100,5.8,4.00
65.9,2.53838192695393028,292651,144.800,5.6,4.00
66.0,3.21749489052706972,292872,146.800,5.6,4.00
66.1,2.72493144884724980,293103,147.200,5.6,4.25
66.1,1.77113695955513006,293350,147.400,5.5,4.25
66.0,2.87323745174035006,293603,148.000,5.4,4.50
65.8,2.14663499527530011,293857,147.700,5.4,4.75
65.9,2.66050109372762034,294104,150.000,5.5,4.75
66.0,1.48006630553789997,294337,151.400,5.4,5.00
65.9,1.91524972608855992,294561,150.200,5.4,5.25
65.8,3.42175913634541029,294768,150.900,5.3,5.25
65.9,3.30400229074103979,294955,151.600,5.4,5.50
65.9,1.89717939501216959,295149,153.700,5.2,5.75
66.1,2.09647901335651987,295359,155.000,5.2,5.75
66.1,3.16846235161855994,295582,154.300,5.1,6.00
66.1,1.62477538920178000,295824,154.300,5.0,6.00
66.1,3.02864557347464025,296077,156.300,5.0,6.25
66.2,2.22215620270876002,296338,157.600,4.9,6.50
66.1,4.02470724061161000,296606,162.200,5.0,6.75
66.1,3.33157515598618970,296857,166.200,5.0,7.00
66.0,2.83691194814225955,297089,163.700,5.0,7.00
66.0,2.20489319920400995,297311,163.000,4.9,7.25
66.0,2.88432186623886011,297526,164.300,4.7,7.50
66.1,2.07202087371556010,297734,161.800,4.8,7.50
66.2,3.08218251360962991,297950,162.200,4.7,7.75
66.1,2.88703161651259999,298170,164.300,4.7,7.75
66.1,4.28816068458392952,298401,165.800,4.6,8.00
66.2,3.19983083499134002,298653,166.100,4.6,8.25
66.1,3.05393052415283961,298910,166.800,4.7,8.25
66.2,4.62137039677920924,299178,167.900,4.7,8.25
66.1,2.10626377333666959,299452,165.400,4.5,8.25
66.2,3.65069704001577033,299710,162.200,4.4,8.25
66.3,3.02469916751934997,299950,164.600,4.5,8.25
66.4,2.72554654380133021,300178,165.600,4.4,8.25
66.4,2.96441026316891953,300398,164.000,4.6,8.25
66.3,4.44702564001934952,300608,166.800,4.5,8.25
66.2,2.68853112184252963,300823,169.300,4.4,8.25
65.9,2.36832536836802010,301045,171.400,4.5,8.25
66.0,2.35349143799752003,301278,173.300,4.4,8.25
66.0,3.26803173677304049,301528,173.800,4.6,8.25
66.0,2.82817098511783005,301790,175.100,4.7,8.25
65.8,2.18457280462695991,302064,172.400,4.6,8.25
66.0,3.70440600770083028,302334,173.500,4.7,7.75
65.8,3.43463052089827015,302590,174.700,4.7,7.75
66.0,3.47535935275699970,302834,179.000,4.7,7.50
66.0,2.98265388398263998,303062,178.600,5.0,7.25
66.2,3.28360527628441989,303280,181.000,5.0,6.50
66.0,2.85747436326564008,303494,182.700,4.9,6.50
66.1,3.04048574612399047,303707,187.900,5.1,5.25
65.9,2.24101388446511995,303926,190.900,5.0,5.25
66.1,2.46276928959309993,304157,196.600,5.4,5.00
66.1,4.05370089545272005,304396,200.500,5.6,5.00
66.1,3.98912873927891987,304646,205.500,5.8,5.00
66.1,2.94013128490127018,304903,199.000,6.1,5.00
66.0,3.17438970761372019,305158,196.900,6.1,5.00
66.0,2.20171024216991018,305403,186.400,6.5,4.00
65.9,1.93625366578525004,305620,176.800,6.8,4.00
65.8,0.36348415080054208,305827,170.900,7.3,3.25
65.7,2.40364062502631981,306035,171.200,7.8,3.25
65.8,2.14357605719473021,306237,169.300,8.3,3.25
65.6,1.90828983085517989,306438,168.100,8.7,3.25
65.7,1.86117019943738993,306645,169.100,9.0,3.25
65.7,1.29376893720740993,306863,170.800,9.4,3.25
65.7,0.75584590889346004,307090,174.100,9.5,3.25
65.5,0.12583251339235399,307322,172.500,9.5,3.25
65.4,1.62550610790990002,307570,175.000,9.6,3.25
65.1,0.91436978353358600,307826,174.100,9.8,3.25
65.0,1.19036541881350000,308071,1175.200,0.0,3.25
65.0,0.51601642131349201,308289,177.400,9.9,3.25
64.6,0.46081040984140598,308495,178.100,9.9,3.25
64.8,0.68011084594070703,308706,181.900,9.8,3.25
64.9,-0.10662785426794889,308904,181.000,9.8,3.25
64.9,-0.28606424629804600,309095,183.300,9.9,4.25
65.2,0.45261625417847290,309289,184.400,9.9,4.25
64.9,0.27574788971957997,309485,184.800,9.6,4.25
64.6,1.26475267675238978,309691,183.500,9.4,4.25
64.6,0.63230506844271805,309913,184.100,9.4,4.25
64.7,0.43020593403721991,310146,184.900,9.5,4.25
64.6,1.53627227687154000,310385,184.900,9.5,4.25
64.4,1.12609057107202015,310612,186.600,9.4,4.25
64.6,1.31829898066591000,310820,187.700,9.8,4.25
64.3,1.39338028075399989,311020,189.700,9.3,4.25
64.2,2.27322625990495997,311204,192.700,9.1,4.25
64.1,2.81696889792589023,311373,195.800,9.0,4.25
64.2,1.74418998266394998,311551,199.200,9.0,4.25
64.2,2.24921919600375997,311740,203.100,9.1,4.25
64.1,2.30581553962389973,311935,204.100,9.0,4.25
64.0,1.92672807632472010,312147,203.900,9.1,4.25
64.0,2.53703137566649994,312372,204.600,9.0,4.25
64.1,3.17797077169900932,312605,203.200,9.0,4.25
64.2,2.49197707942445978,312842,203.700,9.0,4.25
64.1,2.02226514469577001,313060,201.100,8.8,4.25
64.1,1.84701379887521999,313260,201.400,8.6,4.25
64.0,2.37433305779156001,313454,199.800,8.5,4.25
63.7,3.19808928450254015,313636,200.700,8.3,4.25
63.8,1.68455191336783017,313811,201.600,8.3,4.25
63.8,2.42029632056173005,313993,204.200,8.2,4.75
63.7,2.28513384278916964,314176,203.700,8.2,4.75
63.7,1.73207207221012971,314368,201.900,8.2,4.75
63.8,1.92206327761143991,314576,199.800,8.2,4.75
63.7,2.08371119432122009,314796,200.100,8.2,6.25
63.5,2.42386601913445032,315031,202.700,8.1,6.25
