US_prime_rates, US_unemployment_rate, US_population, US_medianCPI, US_CIV
4.75, 5.7, 286739, 2.76158967150149026, 66.5, 128.500
4.75, 5.7, 286935, 3.38352407504046004, 66.8, 128.400
4.75, 5.7, 287131, 2.87262142303709966, 66.6, 129.800
4.75, 5.9, 287343, 2.67648214481753000, 66.7, 130.800
4.75, 5.8, 287571, 2.42019843819256986, 66.7, 130.800
4.75, 5.8, 287808, 2.50253319887129999, 66.6, 130.900
4.75, 5.8, 288051, 2.24505523113134009, 66.5, 131.200
4.75, 5.7, 288303, 2.28572177593908998, 66.6, 131.500
4.75, 5.7, 288554, 2.71779789775747993, 66.7, 132.300
4.75, 5.7, 288794, 2.31390307533893980, 66.6, 133.200
4.25, 5.9, 289012, 1.91097600745183049, 66.4, 133.100
4.25, 6.0, 289214, 3.01261428455381974, 66.3, 132.900
4.25, 5.8, 289412, 2.18139042769815994, 66.4, 135.300
4.25, 5.9, 289606, 1.97583023449681039, 66.4, 137.600
4.25, 5.9, 289809, 1.12621180925948994, 66.3, 141.200
4.25, 6.0, 290024, 0.55303689047201399, 66.4, 136.800
4.25, 6.1, 290250, 1.07578818642804008, 66.4, 136.700
4.00, 6.3, 290484, 1.12305963544220999, 66.5, 138.000
4.00, 6.2, 290726, 2.67107312265710961, 66.2, 137.700
4.00, 6.1, 290974, 2.35741426924818009, 66.1, 138.000
4.00, 6.1, 291222, 2.02226514469577001, 66.1, 138.500
4.00, 6.0, 291463, 2.09586749439761011, 66.1, 139.300
4.00, 5.8, 291677, 1.18636241164811018, 66.1, 138.900
4.00, 5.7, 291868, 1.79882233944806003, 65.9, 139.500
4.00, 5.7, 292046, 2.22007470598395029, 66.1, 141.400
4.00, 5.6, 292230, 2.91265455346974012, 66.0, 142.100
4.00, 5.8, 292434, 2.73440226821978971, 66.0, 143.100
4.00, 5.6, 292651, 2.53838192695393028, 65.9, 144.800
4.00, 5.6, 292872, 3.21749489052706972, 66.0, 146.800
4.25, 5.6, 293103, 2.72493144884724980, 66.1, 147.200
4.25, 5.5, 293350, 1.77113695955513006, 66.1, 147.400
4.50, 5.4, 293603, 2.87323745174035006, 66.0, 148.000
4.75, 5.4, 293857, 2.14663499527530011, 65.8, 147.700
4.75, 5.5, 294104, 2.66050109372762034, 65.9, 150.000
5.00, 5.4, 294337, 1.48006630553789997, 66.0, 151.400
5.25, 5.4, 294561, 1.91524972608855992, 65.9, 150.200
5.25, 5.3, 294768, 3.42175913634541029, 65.8, 150.900
5.50, 5.4, 294955, 3.30400229074103979, 65.9, 151.600
5.75, 5.2, 295149, 1.89717939501216959, 65.9, 153.700
5.75, 5.2, 295359, 2.09647901335651987, 66.1, 155.000
6.00, 5.1, 295582, 3.16846235161855994, 66.1, 154.300
6.00, 5.0, 295824, 1.62477538920178000, 66.1, 154.300
6.25, 5.0, 296077, 3.02864557347464025, 66.1, 156.300
6.50, 4.9, 296338, 2.22215620270876002, 66.2, 157.600
6.75, 5.0, 296606, 4.02470724061161000, 66.1, 162.200
7.00, 5.0, 296857, 3.33157515598618970, 66.1, 166.200
7.00, 5.0, 297089, 2.83691194814225955, 66.0, 163.700
7.25, 4.9, 297311, 2.20489319920400995, 66.0, 163.000
